researcher_id,transfer_date,tech_name,recipient,amount,transfer_type
R001,2023-07-20,구동 메커니즘,(주)신기술연구소,8000,기술이전
R003,2021-11-16,스마트 센서 모듈,(주)한국기술,1000,기술이전
R004,2024-05-07,초정밀 가공 방법,LG화학(주),5000,기술이전
R004,2021-10-06,초정밀 가공 방법,KT&G 연구소,1000,기술이전
R007,2023-06-22,스마트 센서 모듈,삼성전자 기술원,5000,특허실시
R007,2024-01-24,초정밀 가공 방법,대한전자(주),5000,기술이전
R007,2024-10-12,진동 저감 장치,(주)신기술연구소,1000,기술이전
R008,2023-07-19,초정밀 가공 방법,(주)신기술연구소,1000,기술이전
R008,2024-02-18,초정밀 가공 방법,LG화학(주),2000,기술이전
R008,2020-09-09,구동 메커니즘,(주)신기술연구소,8000,기술이전
R009,2024-08-25,로봇 제어 시스템,KT&G 연구소,10000,기술이전
R009,2023-10-28,초정밀 가공 방법,현대자동차(주),500,기술이전
R009,2020-07-21,로봇 제어 시스템,글로벌테크코리아,10000,기술이전
R013,2022-04-10,나노복합소재 제조방법,삼성전자 기술원,8000,기술이전
R014,2020-09-06,기능성 코팅재,KT&G 연구소,2000,특허실시
R015,2022-03-24,고강도 경량합금,현대자동차(주),8000,특허실시
R015,2021-12-08,표면처리 기술,글로벌테크코리아,1000,특허실시
R016,2024-06-05,나노복합소재 제조방법,대한전자(주),500,기술이전
R016,2023-10-01,고분자 복합체,(주)한국기술,10000,기술이전
R019,2024-05-16,고강도 경량합금,LG화학(주),2000,기술이전
R019,2021-10-05,나노복합소재 제조방법,LG화학(주),10000,기술이전
R024,2021-08-04,추천 엔진,현대자동차(주),2000,기술이전
R026,2023-10-04,자연어처리 모델,KT&G 연구소,5000,기술이전
R030,2022-06-06,이상감지 시스템,삼성전자 기술원,1000,기술이전
R030,2022-06-28,이상감지 시스템,(주)신기술연구소,3000,특허실시
R030,2024-03-19,AI 예측 진단 알고리즘,대한전자(주),8000,기술이전
R031,2024-07-28,세포 배양 장치,글로벌테크코리아,1000,기술이전
R033,2021-07-16,약물 전달 시스템,LG화학(주),5000,기술이전
R037,2020-07-04,약물 전달 시스템,(주)한국기술,1000,기술이전
R037,2023-11-04,세포 배양 장치,KT&G 연구소,2000,기술이전
R039,2022-06-01,세포 배양 장치,대한전자(주),2000,기술이전
R040,2021-10-19,생체신호 측정기,미래소재(주),10000,기술이전
R040,2022-06-22,생체신호 측정기,현대자동차(주),10000,기술이전
R040,2023-02-13,생체신호 측정기,(주)신기술연구소,3000,기술이전
R041,2021-11-26,에너지 저장 시스템,삼성전자 기술원,8000,기술이전
R041,2024-07-28,고효율 태양전지 소재,대한전자(주),1000,기술이전
R041,2021-06-11,에너지 저장 시스템,(주)신기술연구소,5000,기술이전
R043,2022-12-19,열관리 장치,현대자동차(주),3000,특허실시
R043,2021-01-05,수소 생산 촉매,(주)신기술연구소,8000,기술이전
R044,2021-03-13,고효율 태양전지 소재,대한전자(주),500,기술이전
R048,2020-02-09,열관리 장치,미래소재(주),500,기술이전
R049,2023-05-08,수소 생산 촉매,(주)신기술연구소,3000,기술이전
R049,2021-03-17,수소 생산 촉매,(주)한국기술,500,기술이전
